iter	Logloss
0	0.5210782461
1	0.4621476754
2	0.4392443826
3	0.4294535938
4	0.424889
5	0.4223524986
6	0.4215680511
7	0.4196234597
8	0.4187480454
9	0.4173157738
10	0.4164787503
11	0.4162601235
12	0.4150980511
13	0.4143237511
14	0.4134365084
15	0.4124705857
16	0.4116212904
17	0.410782973
18	0.4099693057
19	0.4096395015
20	0.4094231193
21	0.4091497111
22	0.40910633
23	0.4079983987
24	0.4073974776
25	0.4073601849
26	0.4071827716
27	0.4071496206
28	0.4068327714
29	0.4063687477
30	0.4063403544
31	0.4058652173
32	0.4052772593
33	0.405247945
34	0.4048019915
35	0.404775121
36	0.4047504999
37	0.4043505445
38	0.4036114257
39	0.4035881808
40	0.4035673406
41	0.403104103
42	0.4028482014
43	0.4024385929
44	0.4015509328
45	0.4010704443
46	0.4007192248
47	0.4001662939
48	0.4000628113
49	0.399888504
